,origIntRate,origUPB,origLTV,origDebtIncRatio,worstCreditScore,zeroBalCode,mSA
92540,4.125,404000,79,26,739,0,16980
92541,3.875,351000,38,22,759,0,41740
92542,4.125,224000,80,32,786,0,0
92544,4.75,266000,90,41,735,0,45060
92545,4.25,211000,80,41,725,1,28940
92546,3.875,84000,80,20,818,0,38220
92547,3.875,183000,42,43,761,0,31080
92548,4.0,345000,70,28,758,0,19340
92549,5.625,136000,80,43,666,1,16980
92550,4.0,150000,69,31,768,0,0
92551,4.0,145000,55,40,759,0,0
92552,4.0,185000,74,37,753,0,31140
92553,4.25,383000,43,44,664,0,41940
92554,4.49,90000,70,39,665,0,0
92555,4.25,91000,48,42,676,0,38340
92556,4.5,92000,77,27,813,0,19340
92557,4.125,144000,37,18,726,0,28140
92558,4.375,149000,85,33,738,0,45460
92559,5.5,107000,65,36,652,0,19100
92560,4.5,172000,80,44,734,0,37980
92561,4.375,115000,75,30,734,0,42540
92562,3.875,323000,49,33,776,0,44140
92563,4.25,260000,80,43,749,0,14460
92564,4.5,70000,36,31,623,0,0
92565,3.875,417000,60,26,730,0,16980
92566,3.875,417000,70,13,685,0,0
92567,4.375,178000,96,23,793,0,33340
92568,4.5,72000,58,20,792,0,30620
92569,3.875,328000,80,18,776,0,41860
92570,4.375,71000,32,43,687,0,39740
92571,3.875,204000,80,27,769,0,19740
92572,4.625,267000,85,45,682,0,41740
92573,4.125,50000,15,26,809,0,12020
92574,4.25,204000,80,44,733,0,37980
92575,4.0,313000,80,29,778,0,41620
92576,4.125,224000,60,39,649,0,14460
92577,3.99,164000,73,27,787,0,0
92578,3.99,170000,48,35,724,0,35620
92579,4.0,327000,73,41,740,0,39820
92581,4.25,105000,73,20,766,0,37980
92582,4.25,595000,80,41,713,0,35620
92583,4.875,107000,67,34,695,0,41180
92584,5.75,184000,79,22,656,0,0
92585,4.625,40000,10,13,822,0,12580
92586,4.5,126000,80,45,690,0,19100
92587,4.25,188000,79,42,738,0,39300
92588,3.875,196000,51,44,697,0,41180
92589,4.375,249000,67,42,690,0,31080
92590,4.0,147000,72,45,710,0,29540
92591,4.5,142000,79,41,702,0,25860
92592,4.75,78000,60,43,660,0,19100
92593,4.375,119000,70,29,762,0,27900
92594,4.25,155000,47,23,756,0,41860
92595,4.375,174000,85,40,757,1,37980
92596,4.375,400000,25,34,624,0,35620
92597,3.875,408000,45,41,756,0,42060
92598,3.75,115000,79,31,733,0,24540
92599,3.875,413000,70,49,755,0,41740
92600,4.25,497000,74,36,718,0,46520
92601,4.25,85000,70,45,730,0,13820
92602,4.5,87000,80,23,762,1,12580
92603,4.375,154000,74,32,663,0,12940
92605,4.375,319000,71,44,682,0,31140
92606,4.25,255000,58,41,709,0,33460
92608,4.125,106000,80,42,793,0,41180
92609,4.625,156000,80,23,699,0,16980
92610,4.25,61000,51,32,714,0,30340
92611,4.25,280000,75,39,754,0,35620
92612,4.125,83000,48,23,773,0,0
92613,4.125,124000,56,3,764,0,46060
92615,4.0,416000,75,38,751,0,31080
92616,3.875,255000,78,14,793,0,40900
92617,4.125,264000,75,45,743,0,31100
92618,4.375,155000,61,23,663,0,47900
92619,3.99,100000,20,34,686,0,37980
92620,4.5,154000,80,44,769,0,37980
92621,4.75,212000,80,43,680,0,0
92622,4.625,154000,72,34,658,1,22520
92623,3.875,410000,41,37,782,0,34980
92624,4.375,281000,80,38,666,0,35620
92625,4.25,84000,80,23,816,0,38060
92626,4.375,528000,74,44,809,0,14860
92627,4.25,225000,26,41,675,0,41860
92628,4.5,90000,65,28,687,0,35380
92629,4.375,163000,80,39,705,0,30300
92630,4.0,235000,85,39,776,0,12700
92631,4.875,43000,63,41,639,0,0
92632,4.875,116000,78,43,658,0,19340
92633,4.5,231000,80,33,757,1,31540
92634,4.375,71000,71,30,806,0,29340
92635,4.0,137000,79,43,762,0,43620
92636,3.875,108000,74,34,764,0,38060
92637,4.0,273000,56,39,807,0,31080
92638,3.875,243000,70,40,797,0,16980
92639,3.875,395000,59,22,800,0,41740
92640,4.375,115000,71,31,682,0,16980
92641,4.125,360000,37,40,700,0,35620
92642,4.1,462000,80,24,797,0,14860
92643,4.5,38000,32,19,812,0,14740
92644,4.375,161000,76,27,650,0,38900
92645,4.25,163000,37,45,649,0,0
92646,4.0,412000,67,32,738,0,16980
92647,4.0,176000,53,24,783,0,35620
92648,4.0,171000,80,28,665,0,0
92649,4.75,71000,80,28,701,1,0
92652,4.125,364000,90,30,723,0,31080
92653,4.25,170000,68,35,771,0,16980
92654,4.5,227000,93,44,779,1,0
