,Unnamed: 0,origIntRate,origUPB,origLTV,origDebtIncRatio,worstCreditScore,zeroBalCode,mSA,Label,Score
222,92380,4.25,170000,66,20,780,0,12940,0,0.0199
223,92381,4.25,98000,21,34,651,0,41740,0,0.0027
224,92382,3.875,222000,74,22,796,0,29100,0,0.0191
225,92383,4.0,196000,49,28,764,0,14460,0,0.0061
226,92385,4.375,279000,75,39,755,0,41860,0,0.0256
227,92386,4.625,128000,74,28,762,0,19740,0,0.0655
228,92387,3.99,118000,48,35,805,0,40900,0,0.0139
229,92388,3.875,196000,79,30,715,0,37980,0,0.0352
230,92389,4.375,115000,89,41,781,1,40980,0,0.2069
231,92390,4.875,109000,85,38,691,0,39580,0,0.1813
232,92391,4.375,360000,80,34,791,0,45940,0,0.0167
233,92392,4.25,296000,80,38,692,0,42660,0,0.025
234,92393,4.25,338000,57,27,712,0,19740,0,0.0033
235,92394,4.375,486000,54,28,764,0,41740,0,0.001
236,92395,4.25,115000,90,32,713,0,24860,0,0.1523
237,92396,4.0,272000,49,23,718,0,41860,0,0.0027
238,92397,4.33,143000,95,22,752,0,12420,0,0.1396
239,92398,4.25,417000,78,7,808,0,42660,0,0.0041
240,92399,4.125,182000,34,43,633,0,46520,0,0.0036
241,92400,4.25,400000,80,19,770,0,16980,0,0.0072
242,92401,4.0,76000,42,32,770,0,34980,0,0.0118
243,92402,4.5,255000,57,49,665,0,37980,0,0.0127
244,92403,4.375,191000,85,32,740,0,26900,0,0.0735
245,92404,4.375,417000,75,41,712,0,16980,0,0.0084
246,92405,4.5,384000,80,38,785,0,39580,0,0.0164
247,92406,4.25,200000,80,44,755,0,30780,0,0.0684
248,92407,4.625,118000,86,27,710,0,43100,0,0.1255
249,92408,4.875,200000,71,30,646,0,0,0,0.0317
250,92409,4.75,417000,72,43,637,0,0,0,0.008
251,92410,4.0,150000,79,39,778,0,36540,0,0.0751
252,92411,5.125,192000,80,43,682,0,48260,0,0.0974
253,92412,4.25,380000,71,38,782,0,37980,0,0.0085
254,92413,4.5,127000,61,44,710,0,0,0,0.0414
255,92414,4.75,479000,74,42,701,0,35620,0,0.0059
256,92415,5.25,97000,80,39,712,0,26580,0,0.1884
257,92416,4.25,120000,78,18,766,0,26900,0,0.0559
258,92417,4.0,145000,37,18,784,0,40140,0,0.0034
259,92418,4.125,152000,89,25,726,0,22220,0,0.0888
260,92419,4.625,310000,78,42,686,0,40140,0,0.0268
261,92420,4.75,275000,73,28,677,0,0,0,0.0184
262,92421,4.626,417000,65,39,670,0,40900,0,0.0046
263,92422,3.875,150000,79,42,753,0,0,0,0.0738
264,92424,4.0,172000,79,29,770,0,44100,0,0.0478
265,92425,3.875,417000,72,16,789,0,16980,0,0.0029
266,92426,3.875,92000,55,25,758,0,19340,0,0.0173
267,92427,3.875,233000,39,42,730,0,0,0,0.0032
268,92428,4.25,285000,79,44,817,0,38900,0,0.0368
269,92429,4.0,172000,92,41,726,0,0,0,0.1296
270,92430,3.875,303000,86,27,788,0,39340,0,0.0238
271,92431,3.875,95000,85,28,776,0,15940,0,0.1108
272,92432,4.25,535000,85,19,784,0,41940,0,0.0034
273,92433,4.5,193000,79,25,657,0,12420,0,0.0395
274,92434,4.25,164000,73,27,694,0,41180,0,0.034
275,92435,4.875,157000,77,26,646,0,0,0,0.0566
276,92436,4.0,115000,80,22,785,0,36420,0,0.066
277,92437,4.125,242000,76,23,753,0,38060,0,0.0202
278,92438,3.75,285000,69,37,770,0,35620,0,0.0118
279,92439,4.75,73000,77,32,779,0,18140,0,0.1399
280,92440,4.0,240000,77,37,755,0,31080,0,0.0305
281,92441,3.99,210000,61,43,713,0,42220,0,0.0162
282,92442,3.75,189000,45,39,812,0,14500,0,0.0065
283,92443,3.5,138000,66,43,732,0,31700,0,0.0309
284,92444,3.875,183000,79,30,811,0,19100,0,0.045
285,92445,3.99,400000,40,34,777,0,19740,0,0.0008
286,92446,4.875,89000,71,43,667,0,15940,0,0.1081
287,92447,6.75,116000,80,35,626,1,10780,0,0.2554
288,92448,3.875,188000,80,23,736,0,43780,0,0.0338
289,92449,4.25,157000,86,44,745,0,45060,0,0.1294
290,92450,4.0,417000,52,32,743,0,35620,0,0.0013
291,92451,4.5,89000,73,22,647,0,0,0,0.0559
292,92452,4.0,177000,21,25,744,0,31080,0,0.0011
293,92454,3.875,380000,75,24,765,0,13820,0,0.0058
294,92455,4.0,80000,55,27,760,1,41980,0,0.0215
295,92456,4.0,324000,94,18,736,0,33340,0,0.025
296,92457,4.25,97000,69,24,712,0,0,0,0.0426
297,92459,4.375,92000,75,32,804,0,24580,0,0.095
298,92460,3.99,286000,52,44,721,0,33100,0,0.0053
299,92461,4.125,71000,80,31,752,1,0,0,0.1174
300,92462,4.25,210000,80,26,750,0,14460,0,0.0383
301,92463,3.99,287000,24,42,710,0,14460,0,0.0009
302,92464,3.875,270000,57,28,708,0,14460,0,0.0047
303,92465,4.375,201000,80,43,746,0,10500,0,0.0693
304,92466,4.25,195000,66,37,645,0,0,0,0.0215
305,92467,4.75,282000,69,43,703,0,15380,0,0.0218
306,92468,3.99,160000,80,44,764,0,47460,0,0.0823
307,92469,4.125,338000,70,30,696,0,12060,0,0.0073
308,92470,3.875,236000,36,50,679,0,35620,0,0.0031
309,92471,4.0,90000,75,33,716,0,49180,0,0.0726
310,92472,5.25,216000,80,28,675,0,45940,0,0.0572
311,92473,3.875,300000,57,16,747,0,14460,0,0.0028
312,92474,4.375,125000,80,20,789,0,36780,0,0.0703
313,92477,4.25,342000,80,37,728,0,39660,0,0.0179
314,92478,4.375,126000,73,43,763,0,38660,0,0.0833
315,92479,4.375,123000,94,42,754,1,0,0,0.2477
316,92480,4.375,107000,80,31,728,0,0,0,0.0985
317,92481,3.875,285000,95,31,729,0,47900,0,0.0482
318,92482,4.25,75000,52,37,675,0,40220,0,0.0248
319,92484,4.375,140000,80,43,807,0,18140,0,0.1185
320,92485,4.25,122000,80,38,727,1,26900,0,0.0998
321,92486,4.0,160000,75,33,772,0,0,0,0.0463
322,92487,4.875,100000,71,23,624,0,24580,0,0.0548
323,92488,4.25,102000,51,14,819,0,16740,0,0.0122
324,92489,4.0,167000,66,37,772,0,19100,0,0.0286
325,92490,4.125,417000,55,49,794,0,33340,0,0.0031
326,92491,4.125,75000,66,27,688,0,0,0,0.0416
327,92492,4.25,370000,79,30,787,0,12220,0,0.0121
328,92493,4.875,280000,80,31,684,0,14460,0,0.0318
329,92494,4.125,335000,58,45,772,0,16980,0,0.0062
330,92495,4.0,83000,77,34,673,0,45460,0,0.0828
331,92496,3.75,62000,50,46,776,1,45460,0,0.0283
332,92497,4.75,110000,32,44,683,0,31080,0,0.0088
333,92498,4.0,618000,55,31,784,0,31100,0,0.0003
334,92499,4.375,78000,62,28,696,0,0,0,0.0378
335,92500,3.875,405000,78,15,795,0,19820,0,0.0046
336,92501,4.375,151000,78,30,693,0,32820,0,0.0585
